,MH
30349,-0.09000000400000001
30432,-0.0099999998
30541,-0.47999999
30578,-1.0
30756,0.029999999
30780,0.23999999
30878,-0.029999999
30898,-0.30000001
30899,0.25999999
31058,-0.31999999
31375,-0.47
31549,-1.1799998999999999
31734,-0.5
31762,-0.31999999
32074,-0.31
32299,-0.82999998
32457,-0.12
32615,-0.07
32844,-1.02
32966,-0.22
33464,-0.43000001
33548,-0.34
33577,-0.70999998
33756,-0.38999999
34234,-0.92000002
34420,-0.69
34531,0.13
34632,-2.0599998999999998
34697,-0.79000002
34827,-0.38999999
35084,-0.82999998
35200,0.1
35205,-1.78
35264,-0.23999999
35670,-0.22
36290,-1.09
36506,-0.77999997
37745,-0.47999999
37757,-0.89999998
37836,-0.15000001
38008,-1.26
38504,-0.55000001
39182,-0.23
39453,-0.74000001
39986,-0.61000001
40073,-0.67000002
40316,-0.30000001
40397,0.14
40626,-0.41
40812,-0.079999998
41329,-0.68000001
41903,-1.24
41917,-0.25
42115,-0.27000001
42337,-1.46
42342,-0.2
43152,-0.62
43485,-0.079999998
43683,-0.63421601
44642,-0.28999999
45109,0.2
45508,0.22
46161,-0.2
46436,-0.28999999
47065,-0.47
48366,-1.11
48698,-0.2
49052,-0.69999999
49299,-0.97000003
49417,-0.23999999
49744,-0.23
50224,-0.18000001
51554,-0.28
54580,-0.68000001
54875,-0.81
55358,-0.12
56008,-0.56999999
56323,-0.75999999
56680,-0.059999999000000005
56876,-0.49000001
57100,-0.41
58177,-0.16
58667,-0.47
59477,-0.69999999
59766,-0.81
59956,-0.47999999
60244,0.25
60658,-0.74000001
60876,-0.25
61067,-0.18000001
61170,-0.079999998
61832,-0.72000003
61840,-0.52999997
62240,-0.5
62458,-0.28999999
62679,-0.41
63130,-0.12
63485,-1.03
63514,-0.73000002
63800,-0.60000002
64485,0.039999999
64611,-0.58999997
64635,-0.47999999
64758,-0.30000001
64795,-0.34
64888,-0.029999999
65000,0.059999999000000005
65212,-0.73000002
65300,-1.02
65998,-0.27000001
66194,-0.77999997
66470,-0.41999999
66978,-0.19
67047,-0.88
67458,-1.1799998999999999
67593,-0.81
67802,-0.37
67834,-0.52999997
67930,-0.37932101
68087,-0.38
68324,-0.80000001
68405,-0.34
68474,0.14
68616,-0.31999999
68748,-0.58999997
68812,0.0
69041,0.5
69178,-0.27000001
69476,-0.079999998
69788,0.059999999000000005
69840,-0.43000001
70117,-0.58999997
70225,-0.33000001
70226,0.18000001
70832,-0.38
70869,-0.5
71439,-0.02
71442,0.0
71590,-0.95999998
73087,-0.46000001
73187,-0.81
73552,-0.27000001
74371,-0.28
74567,-1.27
74682,-1.0
74852,-0.80000001
75278,-0.97000003
75941,-0.76999998
76573,0.46000001
76667,-1.03
76861,-1.4400001
76931,-0.079999998
77181,0.23999999
78020,-0.11
78153,-1.33
78344,-0.19
78378,-0.02
78990,-0.67000002
78992,-0.51999998
79355,-0.81
79610,-0.27000001
79635,-0.50999999
79646,0.16
79905,0.0
79938,-0.89999998
80118,-0.64999998
80411,-0.49000001
80696,-1.46
81046,-0.46000001
81156,-0.31
81249,0.09000000400000001
81355,-0.51999998
81697,-0.82999998
82046,-0.47
82295,-0.25
82505,-1.37
83010,0.25
83467,-0.34999999
84368,-0.74000001
85242,-0.46000001
85615,-0.98000002
85684,-1.11
85826,-0.49000001
85827,-0.75
86173,0.0
86883,-0.2
87168,-1.61
87299,-0.039999999
75,-0.74000001
370,-0.31999999
617,-0.54000002
803,-0.20999999
3148,-0.2
4043,-1.03
4068,-0.67000002
7824,-0.5
9132,-1.0599999
10792,-0.30000001
11026,-0.57999998
11166,-1.05
11167,-0.99000001
12128,-0.66000003
12551,-0.82999998
13182,0.02
14220,-1.25
15162,0.36000001
15417,-0.67000002
16801,0.059999999000000005
17000,-0.49000001
17257,-1.08
17532,-0.23
17788,-0.050000000999999995
18376,0.029999999
18997,-0.25999999
20133,-0.49000001
20379,-0.47999999
21985,-0.02
22141,-0.31
23012,0.15000001
23060,-0.31999999
23581,-0.1
23721,-0.31999999
23766,-0.050000000999999995
23878,-0.09000000400000001
24299,-0.37
24363,-0.25
24645,-1.1
25505,-0.47
25867,-0.30000001
25971,-0.5
26043,-0.31999999
26098,-0.94
27620,-0.72000003
27835,-1.26
27955,-0.41
28554,0.23
28943,0.25
29571,-0.235981
29575,-0.07
29911,-0.60000002
30530,-0.28
30580,-0.28999999
31018,0.050000000999999995
31765,-0.41999999
32215,-0.599576
32727,-0.25
32749,-0.57999998
33124,-0.09000000400000001
33348,-0.75
34150,-0.41999999
35550,-0.039999999
36955,-0.99000001
37383,-0.56
37389,-0.37720001
37851,-0.31999999
38288,-0.68000001
38342,-0.68000001
38544,-0.31
38601,-0.37
38818,-0.175
38972,-0.115
39213,-0.05372230000000001
41092,-0.23
41288,-0.56999999
42550,-0.92312199
42603,-0.41
43222,0.23999999
43241,-0.91000003
43909,-0.46000001
44995,-0.09000000400000001
45787,-0.73000002
46343,-0.58999997
46402,-0.69
46599,-1.09
47160,-0.31999999
47173,-0.70999998
47247,0.31
47396,-1.22
47700,-0.56
48265,0.039999999
48355,-0.69999999
48628,0.0
48779,-0.34
49009,0.059999999000000005
49024,-0.25
49033,-1.0700001000000001
49443,-0.76999998
49578,-0.60000002
50402,-0.82999998
50616,0.22
50740,-0.57999998
51002,-0.75999999
51093,-0.25
51228,-0.25999999
52005,-0.44
52371,0.0
53058,-1.08
53104,0.20999999
53242,-1.08
53502,0.34
53561,-0.62
53682,-0.22
53802,-1.04
54341,-0.28999999
