,ID,Teff,logg,MH
5985,12359081,6467.0,4.3190398000000005,
6027,12509305,6681.1001,4.388319999999999,-0.38999999
6036,12393744,6521.0,4.237100099999999,
6044,12359091,5767.0,4.3358498,
6045,12359092,6924.5,4.3141398,-0.09000000400000001
6052,327995941,6030.0,4.4617801,
6089,12393753,5188.0,4.6310902,
6095,12359098,6064.0,4.0713501,
6097,12359100,5851.0,4.123700100000001,
6150,12474931,6284.0,4.40768,
6154,12474935,7331.0,3.9089899,
6218,12393764,4923.0,4.55053,
6277,12393771,4048.0,4.6466297999999995,
6299,246820426,5929.0,4.395,
6337,12393781,6117.0,4.3526802,
6345,327995977,5915.0,4.209720099999999,
6390,12359134,6484.0,4.38555,
6414,327995979,10613.0,4.3036699,
6485,313891046,5107.0,4.561329799999999,
6498,327995991,6797.0,4.2866502,
6515,12359144,5276.0,4.6223502,
6532,12393800,5571.0,4.1929798,
6568,12359153,6173.6001,4.386489900000001,-0.50999999
6680,12474984,6016.0,3.9923699,
6683,12393811,5955.0,4.46977,
6718,327996019,5747.0,4.5539597999999994,
6756,12393823,10011.0,4.382110099999999,
6765,12474987,5662.0,4.531859900000001,
6838,12393829,5900.0,4.42381,
6994,12393842,4828.0,4.623670099999999,
6995,12393843,5652.0,4.0315599,
7137,313891189,5499.0,4.5736499,
7143,12393858,4102.0,4.53127,
7291,12420073,6518.8999,4.7615199,-0.52999997
7308,12393868,7182.0,4.3394499,
7310,12393870,5088.0,4.489039900000001,
7330,246820507,5220.0,4.6294498,
7339,63724748,5868.0,4.0787902,
7391,12393877,6129.0,4.364980200000001,
7394,12393880,6054.0,4.2168102,
7423,246820518,5547.0,4.388730000000001,
7450,12359228,6190.0,4.0327001000000005,-0.31999999
7455,12359233,5133.0,4.1938601,
7475,327996089,4531.0,4.321179900000001,
7479,12393883,6208.0,4.49331,
7482,12393886,5315.0,4.5892301,
7510,12509407,6360.0,4.0820498,
7513,12509410,5133.0,4.6319299,
7561,327996093,5913.0,4.48949,
7573,12420097,5797.0,4.5536900000000005,
