  4.00   8.00 12.00 16.00   1.65E-3 0.59E-3  1.05E-3   1.75E-3  0.71E-3  0.84E-3
  8.00  16.00  0.50  0.75   6.6E-2  3.3E-2   5.9E-2    5.4E-2   2.9E-2   3.5E-2
  8.00  16.00  0.75  1.00   5.2E-2  1.3E-2   1.4E-2    4.81E-2  0.77E-2  1.33E-2
  8.00  16.00  1.00  1.25   3.36E-2 0.94E-2  1.18E-2   2.90E-2  0.48E-2  0.79E-2
  8.00  16.00  1.25  1.50   3.56E-2 0.74E-2  0.84E-2   3.25E-2  0.92E-2  0.78E-2
  8.00  16.00  1.50  1.75   1.71E-2 0.62E-2  0.91E-2   1.64E-2  0.55E-2  0.78E-2
  8.00  16.00  1.75  2.00   1.29E-2 0.62E-2  0.53E-2   1.29E-2  0.59E-2  0.72E-2
  8.00  16.00  2.00  2.50   3.09E-2 0.80E-2  0.82E-2   3.18E-2  0.56E-2  0.53E-2
  8.00  16.00  2.50  3.00   2.65E-2 0.45E-2  0.43E-2   2.63E-2  0.53E-2  0.48E-2
  8.00  16.00  3.00  4.00   7.0E-3  3.2E-3   3.8E-3    7.2E-3   3.8E-3   3.5E-3
  8.00  16.00  4.00  6.00   3.5E-3  1.7E-3   1.5E-3    3.9E-3   1.7E-3   2.5E-3
  8.00  16.00  6.00  8.00   1.07E-3 0.70E-3  1.12E-3   1.096E-3 0.450E-3 0.095E-3
  8.00  16.00  8.00 12.00   1.58E-3 0.73E-3  0.74E-3   1.45E-3  0.60E-3  1.59E-3
  8.00  16.00 12.00 16.00   1.02E-3 0.66E-3  0.72E-3   9.7E-4   6.2E-4   6.4E-4
 16.00  32.00  0.50  0.75 < 1.4E-1                   < 1.1E-1
 16.00  32.00  0.75  1.00   8.7E-2  2.9E-2   2.5E-2    7.2E-2   1.4E-2   2.0E-2
 16.00  32.00  1.00  1.25   3.4E-2  1.6E-2   1.5E-2    3.0E-2   1.4E-2   1.7E-2
 16.00  32.00  1.25  1.50   2.47E-2 0.83E-2  2.57E-2   2.52E-2  1.00E-2  0.74E-2
 16.00  32.00  1.50  1.75   2.40E-2 0.68E-2  0.82E-2   2.28E-2  0.26E-2  0.30E-2
 16.00  32.00  1.75  2.00   5.5E-3  3.3E-3   5.3E-3    5.1E-3   3.2E-3   5.4E-3
 16.00  32.00  2.00  2.50   5.46E-2 0.89E-2  1.11E-2   5.4E-2   1.2E-2   1.0E-2
 16.00  32.00  2.50  3.00   3.88E-2 0.68E-2  0.79E-2   3.80E-2  0.70E-2  1.06E-2
 16.00  32.00  3.00  4.00   2.07E-2 0.39E-2  0.59E-2   2.14E-2  0.62E-2  0.60E-2
 16.00  32.00  4.00  6.00   4.6E-3  2.8E-3   4.4E-3    3.4E-3   1.6E-3   2.8E-3
 16.00  32.00  6.00  8.00   2.8E-3  1.1E-3   1.7E-3    2.6E-3   1.8E-3   1.7E-3
 16.00  32.00  8.00 12.00   2.1E-3  1.1E-3   1.5E-3    1.9E-3   1.0E-3   1.4E-3
 16.00  32.00 12.00 16.00   2.58E-3 1.23E-3  0.67E-3   2.6E-3   1.6E-3   2.1E-3
 32.00  64.00  0.50  0.75 < 4.1E-1                   < 2.5E-1
 32.00  64.00  0.75  1.00   4.1E-2  2.3E-2   4.0E-2    3.7E-2   2.5E-2   4.9E-2
 32.00  64.00  1.00  1.25   6.0E-2  2.5E-2   2.7E-2    5.1E-2   1.9E-2   2.6E-2
 32.00  64.00  1.25  1.50   9.5E-3  6.3E-3  11.3E-3    8.4E-3   5.5E-3   9.6E-3
 32.00  64.00  1.50  1.75   1.44E-2 0.70E-2  1.11E-2   1.33E-2  0.90E-2  0.85E-2
 32.00  64.00  1.75  2.00   2.3E-2  1.2E-2   1.1E-2    2.1E-2   1.2E-2   1.1E-2
 32.00  64.00  2.00  2.50   5.0E-2  1.2E-2   1.5E-2    4.8E-2   1.2E-2   1.5E-2
 32.00  64.00  2.50  3.00   6.6E-2  1.3E-2   1.4E-2    6.2E-2   1.3E-2   1.5E-2
 32.00  64.00  3.00  4.00   2.07E-2 0.76E-2  0.90E-2   2.09E-2  0.79E-2  1.01E-2
 32.00  64.00  4.00  6.00   4.6E-3  2.6E-3   3.1E-3    4.0E-3   2.4E-3   2.8E-3
 32.00  64.00  6.00  8.00   5.0E-3  2.5E-3   3.0E-3    5.0E-3   2.3E-3   2.8E-3
 32.00  64.00  8.00 12.00   2.8E-3  1.7E-3   2.7E-3    2.7E-3   1.9E-3   2.4E-3
 32.00  64.00 12.00 16.00   5.7E-3  1.9E-3   2.8E-3    5.2E-3   2.0E-3   3.1E-3
 64.00 128.00  0.50  0.75 < 9.3E-1                   < 9.5E-1
 64.00 128.00  0.75  1.00 < 2.2E-1                   < 1.7E-1
 64.00 128.00  1.00  1.25   9.8E-2  4.9E-2   6.3E-2    7.6E-2   3.5E-2   5.6E-2
 64.00 128.00  1.25  1.50   1.8E-2  1.3E-2   2.0E-2    1.24E-2  0.95E-2  1.75E-2
 64.00 128.00  1.50  1.75   2.8E-2  1.8E-2   2.3E-2    2.5E-2   1.4E-2   2.1E-2
 64.00 128.00  1.75  2.00   2.0E-2  1.2E-2   1.8E-2    1.8E-2   1.1E-2   1.4E-2
 64.00 128.00  2.00  2.50   6.2E-2  1.9E-2   2.1E-2    5.5E-2   1.6E-2   1.9E-2
 64.00 128.00  2.50  3.00   3.9E-2  1.7E-2   1.4E-2    3.7E-2   1.4E-2   2.1E-2
 64.00 128.00  3.00  4.00   3.6E-2  1.1E-2   1.3E-2    3.35E-2  0.89E-2  1.21E-2
 64.00 128.00  4.00  6.00   1.48E-2 0.66E-2  0.62E-2   1.40E-2  0.52E-2  0.68E-2
 64.00 128.00  6.00  8.00   4.8E-3  2.9E-3   3.8E-3    4.8E-3   2.5E-3   4.7E-3
 64.00 128.00  8.00 12.00   8.6E-3  4.3E-3   4.3E-3    8.6E-3   3.5E-3   4.3E-3
 64.00 128.00 12.00 16.00   4.9E-3  3.3E-3   4.3E-3    4.2E-3   2.3E-3   4.3E-3
128.00 256.00  0.50  0.75 < 9.1E-1                   < 9.4E-1
128.00 256.00  0.75  1.00 < 5.3E-1                   < 4.5E-1
128.00 256.00  1.00  1.25 < 2.0E-1                   < 1.9E-1
128.00 256.00  1.25  1.50 < 9.8E-2                   < 6.4E-2
128.00 256.00  1.50  1.75   3.9E-2  2.4E-2   2.0E-2    3.2E-2   2.0E-2    2.4E-2
128.00 256.00  1.75  2.00   2.5E-2  2.0E-2   2.4E-2    1.9E-2   1.3E-2    2.1E-2
128.00 256.00  2.00  2.50   6.2E-2  2.9E-2   2.6E-2    5.5E-2   2.0E-2    2.8E-2
128.00 256.00  2.50  3.00   7.5E-2  2.1E-2   2.4E-2    6.5E-2   2.3E-2    2.1E-2
128.00 256.00  3.00  4.00   3.0E-2  1.7E-2   1.9E-2    2.8E-2   1.1E-2    1.6E-2
128.00 256.00  4.00  6.00   1.05E-2 0.54E-2  0.74E-2   9.6E-3   5.5E-3    8.1E-3
128.00 256.00  6.00  8.00   9.9E-3  3.9E-3   9.3E-3    9.7E-3   5.2E-3    5.5E-3
128.00 256.00  8.00 12.00   2.09E-2 0.80E-2  0.96E-2   1.90E-2  0.65E-2   0.62E-2
128.00 256.00 12.00 16.00 < 7.9E-3                   < 5.9E-3
256.00 500.00  0.50  0.75 < 7.9E-1                   < 8.2E-1
256.00 500.00  0.75  1.00 < 6.0E-1                   < 5.7E-1
256.00 500.00  1.00  1.25 < 3.5E-1                   < 3.4E-1
256.00 500.00  1.25  1.50 < 2.3E-1                   < 1.6E-1
256.00 500.00  1.50  1.75   1.66E-1 0.96E-1  1.19E-1   1.28E-1  0.75E-1   0.89E-1
256.00 500.00  1.75  2.00   1.59E-1 0.83E-1  1.02E-1   1.12E-1  0.66E-1   0.82E-1
256.00 500.00  2.00  2.50   5.9E-2  3.6E-2   5.4E-2    4.1E-2   2.7E-2    3.8E-2
256.00 500.00  2.50  3.00  10.0E-2  3.8E-2   5.9E-2    7.6E-2   3.9E-2    3.3E-2
256.00 500.00  3.00  4.00   3.4E-2  2.0E-2   2.4E-2    2.7E-2   1.7E-2    2.4E-2
256.00 500.00  4.00  6.00   3.2E-2  1.5E-2   1.5E-2    2.6E-2   1.5E-2    2.1E-2
256.00 500.00  6.00  8.00 < 2.2E-2                   < 1.7E-2
256.00 500.00  8.00 12.00   2.1E-2  1.1E-2   1.5E-2    1.62E-2  0.70E-2   1.07E-2
256.00 500.00 12.00 16.00 < 2.0E-2                   < 1.5E-2
